aircraft_type,wingspan_m,cruise_speed_kmh
"Bombardier CJR", 21.18, 786
"Piper PA-28", 9.14, 200
"Cessna 172", 11.0, 226
"Cirrus SR22", 11.68, 339
"Piper PA-18", 10.732, 185
"Cessna 152", 10.16, 198
"Cessna 208B", 15.87, 344
"Cessna Citation Latitude", 22.05, 682
"Piper J3C-65 Cub", 10.74, 121
"Airbus A318", 34.1, 829
"Airbus A320", 35.8, 829
"Cessna 182 Skylane", 10.97, 269
"Air Tractor AT-802", 18.06, 356
"Boeing 757", 38.0, 854
"Pilatus PC-12", 16.28, 528
"Cessna 185 Skywagon", 10.92, 269
"Boeing 717", 28.45, 630
"Beechcraft Bonanza", 10.21, 326
"Beechcraft Baron", 11.53, 330
"Beechcraft Denali", 16.54, 528
"Beechcraft King Air 350", 17.65, 578
